state,date,cases,deaths,recovered,state_id,country
Baden-Wuerttemberg,2020-02-24,1,0,1,BW,Germany
Baden-Wuerttemberg,2020-02-25,2,0,2,BW,Germany
Baden-Wuerttemberg,2020-02-26,4,0,4,BW,Germany
Baden-Wuerttemberg,2020-02-27,3,0,3,BW,Germany
Baden-Wuerttemberg,2020-02-28,7,0,7,BW,Germany
Baden-Wuerttemberg,2020-02-29,2,0,2,BW,Germany
Baden-Wuerttemberg,2020-03-01,1,0,1,BW,Germany
Baden-Wuerttemberg,2020-03-02,9,0,9,BW,Germany
Baden-Wuerttemberg,2020-03-03,24,0,24,BW,Germany
Baden-Wuerttemberg,2020-03-04,39,1,38,BW,Germany
Baden-Wuerttemberg,2020-03-05,36,0,36,BW,Germany
Baden-Wuerttemberg,2020-03-06,51,2,49,BW,Germany
Baden-Wuerttemberg,2020-03-07,32,1,31,BW,Germany
Baden-Wuerttemberg,2020-03-08,18,1,17,BW,Germany
Baden-Wuerttemberg,2020-03-09,51,2,49,BW,Germany
Baden-Wuerttemberg,2020-03-10,116,0,116,BW,Germany
Baden-Wuerttemberg,2020-03-11,147,5,142,BW,Germany
Baden-Wuerttemberg,2020-03-12,190,4,186,BW,Germany
Baden-Wuerttemberg,2020-03-13,313,4,309,BW,Germany
Baden-Wuerttemberg,2020-03-14,325,9,316,BW,Germany
Baden-Wuerttemberg,2020-03-15,184,4,180,BW,Germany
Baden-Wuerttemberg,2020-03-16,431,13,418,BW,Germany
Baden-Wuerttemberg,2020-03-17,601,13,588,BW,Germany
Baden-Wuerttemberg,2020-03-18,805,19,786,BW,Germany
Baden-Wuerttemberg,2020-03-19,656,19,637,BW,Germany
Baden-Wuerttemberg,2020-03-20,848,28,820,BW,Germany
Baden-Wuerttemberg,2020-03-21,567,18,549,BW,Germany
Baden-Wuerttemberg,2020-03-22,547,20,527,BW,Germany
Baden-Wuerttemberg,2020-03-23,652,29,622,BW,Germany
Baden-Wuerttemberg,2020-03-24,1187,44,1143,BW,Germany
Baden-Wuerttemberg,2020-03-25,1184,46,1137,BW,Germany
Baden-Wuerttemberg,2020-03-26,1221,74,1147,BW,Germany
Baden-Wuerttemberg,2020-03-27,1248,51,1197,BW,Germany
Baden-Wuerttemberg,2020-03-28,1011,58,953,BW,Germany
Baden-Wuerttemberg,2020-03-29,659,32,627,BW,Germany
Baden-Wuerttemberg,2020-03-30,932,59,873,BW,Germany
Baden-Wuerttemberg,2020-03-31,1225,83,1142,BW,Germany
Baden-Wuerttemberg,2020-04-01,1241,87,1154,BW,Germany
Baden-Wuerttemberg,2020-04-02,1417,97,1320,BW,Germany
Baden-Wuerttemberg,2020-04-03,1274,79,1195,BW,Germany
Baden-Wuerttemberg,2020-04-04,861,42,819,BW,Germany
Baden-Wuerttemberg,2020-04-05,494,35,459,BW,Germany
Baden-Wuerttemberg,2020-04-06,569,46,523,BW,Germany
Baden-Wuerttemberg,2020-04-07,908,55,853,BW,Germany
Baden-Wuerttemberg,2020-04-08,933,72,861,BW,Germany
Baden-Wuerttemberg,2020-04-09,1000,68,932,BW,Germany
Baden-Wuerttemberg,2020-04-10,667,40,627,BW,Germany
Baden-Wuerttemberg,2020-04-11,751,36,715,BW,Germany
Baden-Wuerttemberg,2020-04-12,426,45,381,BW,Germany
Baden-Wuerttemberg,2020-04-13,292,33,259,BW,Germany
Baden-Wuerttemberg,2020-04-14,371,28,343,BW,Germany
Baden-Wuerttemberg,2020-04-15,622,46,576,BW,Germany
Baden-Wuerttemberg,2020-04-16,662,33,629,BW,Germany
Baden-Wuerttemberg,2020-04-17,554,30,524,BW,Germany
Baden-Wuerttemberg,2020-04-18,390,21,369,BW,Germany
Baden-Wuerttemberg,2020-04-19,298,27,271,BW,Germany
Baden-Wuerttemberg,2020-04-20,276,22,254,BW,Germany
Baden-Wuerttemberg,2020-04-21,391,21,370,BW,Germany
Baden-Wuerttemberg,2020-04-22,506,22,484,BW,Germany
Baden-Wuerttemberg,2020-04-23,424,22,402,BW,Germany
Baden-Wuerttemberg,2020-04-24,362,15,347,BW,Germany
Baden-Wuerttemberg,2020-04-25,318,23,295,BW,Germany
Baden-Wuerttemberg,2020-04-26,133,5,128,BW,Germany
Baden-Wuerttemberg,2020-04-27,171,5,166,BW,Germany
Baden-Wuerttemberg,2020-04-28,186,10,176,BW,Germany
Baden-Wuerttemberg,2020-04-29,276,12,264,BW,Germany
Baden-Wuerttemberg,2020-04-30,258,12,246,BW,Germany
