date,change_in_mobility,state_id,country
2020-01-01,15.64,BW,Germany
2020-01-02,-15.92,BW,Germany
2020-01-03,-14.25,BW,Germany
2020-01-04,0.01,BW,Germany
2020-01-05,8.75,BW,Germany
2020-01-06,15.03,BW,Germany
2020-01-07,3.28,BW,Germany
2020-01-08,10.4,BW,Germany
2020-01-09,11.87,BW,Germany
2020-01-10,12.84,BW,Germany
2020-01-11,12.24,BW,Germany
2020-01-12,10.52,BW,Germany
2020-01-13,8.43,BW,Germany
2020-01-14,5.96,BW,Germany
2020-01-15,14.69,BW,Germany
2020-01-16,16.09,BW,Germany
2020-01-17,15.15,BW,Germany
2020-01-18,14.64,BW,Germany
2020-01-19,11.08,BW,Germany
2020-01-20,9.21,BW,Germany
2020-01-21,9.05,BW,Germany
2020-01-22,15.33,BW,Germany
2020-01-23,10.7,BW,Germany
2020-01-24,13.71,BW,Germany
2020-01-25,14.85,BW,Germany
2020-01-26,16.14,BW,Germany
2020-01-27,8.36,BW,Germany
2020-01-28,6.92,BW,Germany
2020-01-29,14.63,BW,Germany
2020-01-30,16.6,BW,Germany
2020-01-31,17.18,BW,Germany
2020-02-01,8.2,BW,Germany
2020-02-02,2.23,BW,Germany
2020-02-03,7.03,BW,Germany
2020-02-04,7.86,BW,Germany
2020-02-05,8.77,BW,Germany
2020-02-06,8.74,BW,Germany
2020-02-07,10.09,BW,Germany
2020-02-08,9.79,BW,Germany
2020-02-09,7.61,BW,Germany
2020-02-10,-4.56,BW,Germany
2020-02-11,8.85,BW,Germany
2020-02-12,7.22,BW,Germany
2020-02-13,7.16,BW,Germany
2020-02-14,10.98,BW,Germany
2020-02-15,12.57,BW,Germany
2020-02-16,15.66,BW,Germany
2020-02-17,7.62,BW,Germany
2020-02-18,10.92,BW,Germany
2020-02-19,8.82,BW,Germany
2020-02-20,8.3,BW,Germany
2020-02-21,5.33,BW,Germany
2020-02-22,7.84,BW,Germany
2020-02-23,3.27,BW,Germany
2020-02-24,-4.25,BW,Germany
2020-02-25,-5.7,BW,Germany
2020-02-26,-5.12,BW,Germany
2020-02-27,-6.0,BW,Germany
2020-02-28,-0.74,BW,Germany
2020-02-29,2.61,BW,Germany
2020-03-01,2.53,BW,Germany
2020-03-02,5.66,BW,Germany
2020-03-03,5.32,BW,Germany
2020-03-04,5.65,BW,Germany
2020-03-05,3.38,BW,Germany
2020-03-06,4.09,BW,Germany
2020-03-07,2.6,BW,Germany
2020-03-08,7.73,BW,Germany
2020-03-09,8.71,BW,Germany
2020-03-10,1.0,BW,Germany
2020-03-11,3.72,BW,Germany
2020-03-12,3.84,BW,Germany
2020-03-13,3.74,BW,Germany
2020-03-14,-8.7,BW,Germany
2020-03-15,-2.94,BW,Germany
2020-03-16,1.64,BW,Germany
2020-03-17,-15.06,BW,Germany
2020-03-18,-18.24,BW,Germany
2020-03-19,-22.29,BW,Germany
2020-03-20,-26.07,BW,Germany
2020-03-21,-48.56,BW,Germany
2020-03-22,-43.52,BW,Germany
2020-03-23,-31.95,BW,Germany
2020-03-24,-34.41,BW,Germany
2020-03-25,-35.61,BW,Germany
2020-03-26,-35.44,BW,Germany
2020-03-27,-33.1,BW,Germany
2020-03-28,-33.59,BW,Germany
2020-03-29,-55.81,BW,Germany
2020-03-30,-30.66,BW,Germany
2020-03-31,-31.9,BW,Germany
2020-04-01,-29.39,BW,Germany
2020-04-02,-28.03,BW,Germany
2020-04-03,-30.57,BW,Germany
2020-04-04,-30.76,BW,Germany
