date,change_in_mobility,country
2020-01-01,8.15,Germany
2020-01-02,-16.61,Germany
2020-01-03,-15.34,Germany
2020-01-04,-4.74,Germany
2020-01-05,0.8,Germany
2020-01-06,-1.68,Germany
2020-01-07,0.66,Germany
2020-01-08,5.31,Germany
2020-01-09,5.62,Germany
2020-01-10,6.73,Germany
2020-01-11,6.12,Germany
2020-01-12,4.66,Germany
2020-01-13,4.09,Germany
2020-01-14,1.72,Germany
2020-01-15,8.75,Germany
2020-01-16,10.43,Germany
2020-01-17,9.92,Germany
2020-01-18,8.06,Germany
2020-01-19,7.96,Germany
2020-01-20,4.22,Germany
2020-01-21,5.11,Germany
2020-01-22,8.97,Germany
2020-01-23,5.21,Germany
2020-01-24,6.93,Germany
2020-01-25,7.22,Germany
2020-01-26,9.21,Germany
2020-01-27,3.59,Germany
2020-01-28,3.32,Germany
2020-01-29,8.85,Germany
2020-01-30,10.28,Germany
2020-01-31,12.34,Germany
2020-02-01,3.16,Germany
2020-02-02,-1.93,Germany
2020-02-03,2.08,Germany
2020-02-04,2.9,Germany
2020-02-05,4.85,Germany
2020-02-06,3.15,Germany
2020-02-07,4.82,Germany
2020-02-08,4.45,Germany
2020-02-09,-6.01,Germany
2020-02-10,-9.63,Germany
2020-02-11,3.11,Germany
2020-02-12,2.68,Germany
2020-02-13,1.69,Germany
2020-02-14,5.22,Germany
2020-02-15,6.53,Germany
2020-02-16,2.21,Germany
2020-02-17,4.11,Germany
2020-02-18,5.21,Germany
2020-02-19,3.78,Germany
2020-02-20,2.83,Germany
2020-02-21,2.39,Germany
2020-02-22,2.99,Germany
2020-02-23,-3.19,Germany
2020-02-24,-4.89,Germany
2020-02-25,-1.85,Germany
2020-02-26,-0.68,Germany
2020-02-27,-0.6,Germany
2020-02-28,2.66,Germany
2020-02-29,1.89,Germany
2020-03-01,-0.08,Germany
2020-03-02,1.73,Germany
2020-03-03,0.65,Germany
2020-03-04,1.74,Germany
2020-03-05,0.67,Germany
2020-03-06,-0.43,Germany
2020-03-07,-0.44,Germany
2020-03-08,2.02,Germany
2020-03-09,4.97,Germany
2020-03-10,-2.49,Germany
2020-03-11,-1.03,Germany
2020-03-12,-0.01,Germany
2020-03-13,-2.13,Germany
2020-03-14,-9.82,Germany
2020-03-15,-9.45,Germany
2020-03-16,-6.66,Germany
2020-03-17,-17.86,Germany
2020-03-18,-22.46,Germany
2020-03-19,-27.56,Germany
2020-03-20,-32.02,Germany
2020-03-21,-45.99,Germany
2020-03-22,-44.23,Germany
2020-03-23,-35.06,Germany
2020-03-24,-37.66,Germany
2020-03-25,-38.11,Germany
2020-03-26,-38.16,Germany
2020-03-27,-37.33,Germany
2020-03-28,-38.26,Germany
2020-03-29,-55.26,Germany
2020-03-30,-35.57,Germany
2020-03-31,-35.47,Germany
2020-04-01,-34.55,Germany
2020-04-02,-33.28,Germany
2020-04-03,-34.32,Germany
2020-04-04,-36.08,Germany
2020-04-05,-34.05,Germany
2020-04-06,-29.04,Germany
2020-04-07,-32.09,Germany
2020-04-08,-28.53,Germany
2020-04-09,-27.39,Germany
2020-04-10,-34.28,Germany
2020-04-11,-27.97,Germany
2020-04-12,-28.57,Germany
2020-04-13,-43.44,Germany
2020-04-14,-31.73,Germany
2020-04-15,-27.83,Germany
2020-04-16,-25.44,Germany
2020-04-17,-25.32,Germany
2020-04-18,-28.9,Germany
2020-04-19,-30.05,Germany
2020-04-20,-23.22,Germany
2020-04-21,-23.68,Germany
2020-04-22,-20.73,Germany
2020-04-23,-20.34,Germany
2020-04-24,-21.01,Germany
2020-04-25,-24.46,Germany
2020-04-26,-24.32,Germany
2020-04-27,-19.93,Germany
2020-04-28,-23.58,Germany
