date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24296,24159,137,24296,0,0,24159,137
2020-12-28,18383,18383,0,42679,0,0,42542,137
2020-12-29,48894,48305,589,91573,0,0,90847,726
2020-12-30,61546,61542,4,153119,0,0,152389,730
2020-12-31,49672,49555,117,202791,0,0,201944,847
2021-01-01,19271,19271,0,222061,0,1,221215,847
2021-01-02,52718,52442,276,274779,0,1,273657,1123
2021-01-03,24148,24148,0,298927,0,1,297805,1123
2021-01-04,48306,48306,0,347233,0,1,346111,1123
2021-01-05,53365,53341,24,400597,1,1,399452,1147
2021-01-06,62996,62995,1,463585,7,3,462447,1148
2021-01-07,56205,56201,4,519786,11,3,518648,1152
2021-01-08,63419,63101,318,583157,59,3,581749,1470
2021-01-09,61225,61176,49,644382,59,3,642925,1519
2021-01-10,35139,35132,7,679521,59,3,678057,1526
2021-01-11,66440,66389,51,745960,60,3,744446,1577
2021-01-12,82924,82874,50,828882,60,5,827320,1627
2021-01-13,111324,111147,177,939409,857,5,938467,1804
2021-01-14,83115,82836,279,1017940,5441,5,1021303,2083
2021-01-15,90427,89715,712,1102911,10878,24,1111018,2795
2021-01-16,57353,56317,1036,1158492,12650,24,1167335,3831
2021-01-17,47494,30827,16667,1204680,13955,25,1198162,20498
2021-01-18,81798,66053,15745,1282909,17523,26,1264215,36243
2021-01-19,113493,81041,32452,1393363,20512,76,1345256,68695
2021-01-20,131388,80333,51055,1522017,23242,80,1425589,119750
2021-01-21,104023,64349,39674,1623451,25831,80,1489938,159424
2021-01-22,101893,67515,34378,1723332,27831,92,1557453,193802
2021-01-23,85363,40686,44677,1808311,28214,93,1598139,238479
2021-01-24,49493,25596,23897,1857556,28458,97,1623735,262376
2021-01-25,95971,58179,37792,1951803,30180,99,1681914,300168
2021-01-26,99419,50966,48453,2049562,31834,105,1732880,348621
2021-01-27,110908,51577,59331,2158536,33760,113,1784457,407952
2021-01-28,91331,45185,46146,2248231,35395,114,1829642,454098
2021-01-29,108518,51179,57339,2355276,36800,182,1880821,511437
2021-01-30,86596,35290,51306,2440997,37674,183,1916111,562743
2021-01-31,57769,26718,31051,2498401,38039,183,1942829,593794
2021-02-01,121403,59267,62136,2617536,40250,240,2002096,655930
2021-02-02,130491,63543,66948,2745143,43120,254,2065639,722878
2021-02-03,157932,63689,94243,2897106,49069,274,2129328,817121
2021-02-04,131153,61020,70133,3022800,54522,280,2190348,887254
2021-02-05,143025,66405,76620,3159938,60402,287,2256753,963874
2021-02-06,99249,46444,52805,3256720,62868,288,2303197,1016679
2021-02-07,53538,28105,25433,3307907,65217,290,2331302,1042112
2021-02-08,109990,53360,56630,3414020,69076,308,2384662,1098742
2021-02-09,132523,59293,73230,3542553,72958,416,2443955,1171972
2021-02-10,148859,73715,75144,3680799,76550,7437,2517670,1247116
2021-02-11,141901,73691,68210,3800323,83499,22865,2591361,1315326
2021-02-12,156066,80221,75845,3932818,92993,36942,2671582,1391171
2021-02-13,107724,61741,45983,4024928,96028,49521,2733323,1437154
2021-02-14,64791,39774,25017,4080027,98429,56812,2773097,1462171
2021-02-15,126429,70614,55815,4187320,102826,71551,2843711,1517986
2021-02-16,134372,81427,52945,4292986,108061,95022,2925138,1570931
2021-02-17,149723,94329,55394,4415486,115582,114724,3019467,1626325
2021-02-18,143582,91909,51673,4526909,123345,139120,3111376,1677998
2021-02-19,152516,98848,53668,4644914,132728,164248,3210224,1731666
2021-02-20,114122,76396,37726,4732959,137199,185854,3286620,1769392
2021-02-21,85765,56874,28891,4800221,140427,201129,3343494,1798283
2021-02-22,160559,99499,61060,4927104,149234,225998,3442993,1859343
2021-02-23,166522,106639,59883,5059526,156057,253275,3549632,1919226
2021-02-24,174017,115185,58832,5191120,163581,288174,3664817,1978058
2021-02-25,188208,129856,58352,5322218,170100,338765,3794673,2036410
2021-02-26,207682,143462,64220,5461207,178798,398760,3938135,2100630
2021-02-27,148189,108287,39902,5553896,182989,450069,4046422,2140532
2021-02-28,108089,83853,24236,5616232,186945,491866,4130275,2164768
2021-03-01,194336,145009,49327,5744748,195952,548679,4275284,2214095
2021-03-02,218404,164790,53614,5885202,205623,616958,4440074,2267709
2021-03-03,241717,173609,68108,6041472,218960,689068,4613683,2335817
2021-03-04,241405,178713,62692,6184134,232488,774283,4792396,2398509
2021-03-05,266163,199636,66527,6330970,245283,880815,4992032,2465036
2021-03-06,202002,152861,49141,6441494,253862,963714,5144893,2514177
2021-03-07,149208,114567,34641,6524206,260583,1023489,5259460,2548818
2021-03-08,237762,185254,52508,6659914,271574,1114552,5444714,2601326
2021-03-09,249994,195221,54773,6800149,284235,1211650,5639935,2656099
2021-03-10,282638,217156,65482,6957345,295766,1325561,5857091,2721581
2021-03-11,280250,219350,60900,7106330,308845,1443747,6076441,2782481
2021-03-12,320897,249439,71458,7258566,326067,1595186,6325880,2853939
2021-03-13,245681,196306,49375,7373054,335690,1716756,6522186,2903314
2021-03-14,170838,134812,36026,7462551,340741,1793046,6656998,2939340
2021-03-15,247647,188825,58822,7614416,353061,1876508,6845823,2998162
2021-03-16,180343,113341,67002,7781871,364031,1878426,6959164,3065164
2021-03-17,203821,124937,78884,7967319,381006,1879824,7084101,3144048
2021-03-18,193890,119107,74783,8142127,398520,1881392,7203208,3218831
2021-03-19,240963,158860,82103,8325157,418219,1919626,7362068,3300934
2021-03-20,218373,164531,53842,8460560,433265,1987550,7526599,3354776
2021-03-21,165488,126728,38760,8564623,442434,2039806,7653327,3393536
2021-03-22,264884,188665,76219,8729576,465846,2116325,7841992,3469755
2021-03-23,296825,213271,83554,8909852,485489,2213231,8055263,3553309
2021-03-24,330830,243072,87758,9105843,517914,2315645,8298335,3641067
2021-03-25,332801,253353,79448,9292647,543794,2435762,8551688,3720515
2021-03-26,368742,280118,88624,9493795,578117,2569033,8831806,3809139
2021-03-27,283800,220592,63208,9644589,605083,2675073,9052398,3872347
2021-03-28,195031,142279,52752,9761897,623578,2734301,9194677,3925099
2021-03-29,305757,217234,88523,9948892,648255,2828386,9411911,4013622
2021-03-30,323696,231049,92647,10162419,673600,2913210,9642960,4106269
2021-03-31,335386,232992,102394,10409099,709982,2965534,9875952,4208663
2021-04-01,317661,226040,91621,10640788,741456,3020032,10101992,4300284
2021-04-02,228265,156864,71401,10821118,757841,3051582,10258856,4371685
2021-04-03,229102,163058,66044,10992101,774865,3092677,10421914,4437729
2021-04-04,194881,141353,53528,11126288,785952,3142284,10563267,4491257
2021-04-05,249271,175942,73329,11294267,803770,3205758,10739209,4564586
2021-04-06,375587,277210,98377,11550775,836279,3292328,11016419,4662963
2021-04-07,671537,576288,95249,12088615,870936,3391368,11592707,4758212
2021-04-08,724580,636315,88265,12656063,905156,3514280,12229022,4846477
2021-04-09,615113,529682,85431,13138962,938688,3612962,12758704,4931908
2021-04-10,361022,296631,64391,13380994,960229,3710411,13055335,4996299
2021-04-11,255342,205724,49618,13545538,977889,3783549,13261059,5045917
2021-04-12,406951,332569,74382,13818038,1004864,3891025,13593628,5120299
2021-04-13,530537,464701,65836,14221802,1027036,3995626,14058329,5186135
